id,model,vocab,embeddings,maxlen,lstm,punct,optimizer,loss,acc,epochs,elapsed_time,timeout,max_epochs
56,RNN2,3000,128,12,256,False,adam,1.674,0.6322,84,420.2097,7,300
23,RNN2,3000,256,12,512,False,adam,1.6881,0.6285,39,428.0454,7,300
26,RNN3,3200,64,10,128,True,sgd_fast,1.6636,0.6252,42,241.848,1,100
5,RNN2,3000,256,10,256,True,adam_fast,1.7238,0.6073,49,304.5078,5,200
40,RNN1,3200,64,10,256,True,rmsprop,3.6596,0.5794,60,182.2183,1,100
1,RNN4,3200,64,10,128,True,adam,1.7114,0.5772,20,240.1219,1,100
4,RNN1,3200,64,10,128,True,adam,2.1454,0.5689,60,143.1769,1,100
4,RNN1,3200,128,8,128,True,sgd_fast,1.8641,0.5658,37,122.3162,3,100
4,RNN1,3200,128,8,128,True,sgd_fast,1.8641,0.5658,37,122.3162,2,100
28,RNN1,3200,128,8,256,True,rmsprop,3.9484,0.5599,44,121.6712,2,100
28,RNN1,3200,128,8,256,True,rmsprop,3.9484,0.5599,44,121.6712,3,100
14,RNN3,3200,64,10,256,True,adam_fast,2.1108,0.5566,60,193.4106,1,100
32,RNN1,3200,128,12,256,True,rmsprop,3.9691,0.5539,41,120.7731,2,100
32,RNN1,3200,128,12,256,True,rmsprop,3.9691,0.5539,41,120.7731,3,100
3,RNN2,3200,64,10,128,True,adam,2.0388,0.5512,60,237.9389,1,100
58,RNN3,3000,128,12,512,False,adam,2.216,0.539,74,425.4325,7,300
15,RNN2,3200,64,10,256,True,adam_fast,2.0932,0.5379,49,241.5188,1,100
13,RNN4,3200,64,10,256,True,adam_fast,1.9114,0.5371,20,249.1149,1,100
32,RNN1,3200,64,10,256,True,sgd_fast,2.0981,0.5086,59,242.7718,1,100
11,RNN2,3200,128,8,256,True,sgd_fast,2.1985,0.4825,25,122.6756,2,100
11,RNN2,3200,128,8,256,True,sgd_fast,2.1985,0.4825,25,122.6756,3,100
38,RNN3,3200,64,10,256,True,rmsprop,3.5437,0.476,56,243.3606,1,100
7,RNN2,3200,64,10,256,True,adam,2.4307,0.4701,50,243.1483,1,100
2,RNN3,3200,64,10,128,True,adam,2.4682,0.469,60,231.5093,1,100
20,RNN1,3200,128,8,128,True,rmsprop,4.7754,0.4666,46,121.4134,2,100
20,RNN1,3200,128,8,128,True,rmsprop,4.7754,0.4666,46,121.4134,3,100
36,RNN1,3200,64,10,128,True,rmsprop,4.7325,0.4629,60,205.6424,1,100
5,RNN4,3200,64,10,256,True,adam,2.2616,0.4628,20,250.5055,1,100
8,RNN1,3200,128,12,128,True,sgd_fast,2.3908,0.4625,35,123.2896,2,100
8,RNN1,3200,128,12,128,True,sgd_fast,2.3908,0.4625,35,123.2896,3,100
8,RNN1,3200,64,10,256,True,adam,2.7033,0.4538,60,137.6715,1,100
2,RNN2,3000,512,10,256,True,adam,2.547,0.4493,22,185.949,3,100
24,RNN1,3200,128,12,128,True,rmsprop,4.6555,0.4426,41,120.0409,3,100
24,RNN1,3200,128,12,128,True,rmsprop,4.6555,0.4426,41,120.0409,2,100
11,RNN2,3200,128,10,256,False,adam,2.5841,0.4354,38,180.1355,3,100
31,RNN3,3200,256,10,256,False,adam_fast,2.662,0.4348,42,181.1498,3,100
28,RNN1,3200,64,10,128,True,sgd_fast,2.6984,0.4341,60,235.7374,1,100
20,RNN2,3200,256,10,256,True,adam,2.7008,0.4267,29,181.229,3,100
39,RNN2,3200,64,10,256,True,rmsprop,3.3676,0.423,43,241.3899,1,100
9,RNN1,3000,256,10,256,True,sgd_fast,2.8275,0.4202,76,303.5825,5,200
14,RNN3,3200,128,12,256,True,sgd_fast,2.7561,0.4031,25,120.2309,2,100
14,RNN3,3200,128,12,256,True,sgd_fast,2.7561,0.4031,25,120.2309,3,100
3,RNN2,3200,128,8,128,True,sgd_fast,2.6631,0.3847,25,122.6592,3,100
3,RNN2,3200,128,8,128,True,sgd_fast,2.6631,0.3847,25,122.6592,2,100
35,RNN2,3200,64,10,128,True,rmsprop,4.248,0.3556,48,242.1237,1,100
26,RNN3,3200,128,8,256,True,rmsprop,4.0562,0.3532,33,121.1632,3,100
26,RNN3,3200,128,8,256,True,rmsprop,4.0562,0.3532,33,121.1632,2,100
19,RNN3,3200,256,10,256,True,adam,3.1025,0.3454,39,181.4807,3,100
25,RNN4,3200,64,10,128,True,sgd_fast,2.8296,0.3376,24,243.9663,1,100
6,RNN3,3200,128,12,128,True,sgd_fast,3.1465,0.3303,27,121.3993,3,100
6,RNN3,3200,128,12,128,True,sgd_fast,3.1465,0.3303,27,121.3993,2,100
6,RNN3,3200,64,10,256,True,adam,3.2003,0.3271,60,198.1874,1,100
32,RNN2,3200,256,10,256,False,adam_fast,3.2637,0.311,33,183.9997,3,100
15,RNN2,3200,128,12,256,True,sgd_fast,3.1298,0.3101,21,124.6017,3,100
15,RNN2,3200,128,12,256,True,sgd_fast,3.1298,0.3101,21,124.6017,2,100
29,RNN4,3200,64,10,256,True,sgd_fast,3.0697,0.2967,23,242.5617,1,100
29,RNN2,3200,256,10,256,False,adam,3.3585,0.2871,33,182.702,3,100
18,RNN3,3200,128,8,128,True,rmsprop,4.7366,0.2702,36,122.7298,3,100
18,RNN3,3200,128,8,128,True,rmsprop,4.7366,0.2702,36,122.7298,2,100
2,RNN3,3200,128,8,128,True,sgd_fast,3.5285,0.2601,24,120.2869,2,100
2,RNN3,3200,128,8,128,True,sgd_fast,3.5285,0.2601,24,120.2869,3,100
