codcult,safra,e1,e2,e3,e4,e5,e6,e7,n7tmed,p7tmax,p7tmin,p7ur,p7nprec,p7sprec,p7tmed,n7tmax,n7tmin,n7ur,n7nprec,n7sprec,p14tmed,p14tmax,p14tmin,p14ur,p14nprec,p14sprec,n14tmed,n14tmax,n14tmin,n14ur,n14nprec,n14sprec,p28tmed,p28tmax,p28tmin,p28ur,p28nprec,p28sprec,n28tmed,n28tmax,n28tmin,n28ur,n28nprec,n28sprec,delta
16,1,100.0,100.0,100.0,14.4,0.0,0.0,0.0,24.862500000000004,29.262500000000006,20.4625,82.375,-28.57142857142857,49.90000000000001,23.3375,27.55,19.125,79.6875,14.285714285714285,23.1,25.086666666666666,30.066666666666666,20.106666666666673,78.46666666666667,-21.428571428571427,81.6,24.410000000000004,28.986666666666668,19.83333333333333,79.68333333333334,28.57142857142857,111.9,24.268965517241373,29.675862068965515,18.86206896551724,73.0344827586207,-21.428571428571427,145.1,24.94137931034484,29.65862068965517,20.22413793103448,77.59482758620689,21.428571428571427,156.10000000000005,77
16,1,100.0,100.0,100.0,45.93,0.0,0.0,0.0,23.3375,27.55,19.125,79.6875,-14.285714285714285,23.1,25.50625,30.375,20.637500000000006,80.34375,42.857142857142854,88.80000000000003,23.94666666666667,28.20666666666667,19.686666666666664,81.95,-21.428571428571427,73.0,25.34,30.18,20.500000000000004,78.76666666666667,35.714285714285715,131.70000000000002,24.460344827586212,29.355172413793106,19.565517241379307,76.72413793103449,-21.428571428571427,136.60000000000002,25.562068965517234,30.303448275862063,20.820689655172405,78.84482758620689,28.57142857142857,181.9,70
16,1,100.0,100.0,100.0,79.07,0.0,0.0,0.0,25.50625,30.375,20.637500000000006,80.34375,-42.857142857142854,88.80000000000003,25.175,29.975,20.375,78.09375,42.857142857142854,58.8,24.410000000000004,28.986666666666668,19.83333333333333,79.68333333333334,-28.57142857142857,111.9,25.5,30.360000000000007,20.64,76.06666666666666,21.428571428571427,60.1,24.69137931034483,29.46206896551724,19.92068965517241,79.48275862068967,-25.0,193.50000000000003,25.55,30.11724137931035,20.98275862068965,79.50862068965517,32.142857142857146,178.4,63
16,1,100.0,100.0,100.0,79.07,0.0,0.0,0.0,25.175,29.975,20.375,78.09375,-42.857142857142854,58.8,25.65625,30.725,20.5875,71.84375,0.0,1.3,25.34,30.18,20.500000000000004,78.76666666666667,-35.714285714285715,131.70000000000002,25.69,30.420000000000005,20.96,77.56666666666666,21.428571428571427,50.2,24.644827586206894,29.213793103448282,20.075862068965517,80.19827586206897,-28.57142857142857,204.7,25.91206896551725,30.62413793103448,21.2,78.56896551724137,25.0,164.8,56
16,1,100.0,100.0,100.0,100.0,0.0,0.0,0.0,25.65625,30.725,20.5875,71.84375,-0.0,1.3,25.85,30.3125,21.387500000000006,82.71875,42.857142857142854,48.9,25.5,30.360000000000007,20.64,76.06666666666666,-21.428571428571427,60.1,25.676666666666666,30.0,21.35333333333333,82.51666666666667,42.857142857142854,118.3,24.94137931034484,29.65862068965517,20.22413793103448,77.59482758620689,-21.428571428571427,156.10000000000005,25.97413793103448,30.52068965517241,21.42758620689655,81.93103448275863,35.714285714285715,238.4,49
16,1,100.0,100.0,100.0,100.0,14.4,0.0,0.0,25.85,30.3125,21.387500000000006,82.71875,-42.857142857142854,48.9,25.5375,29.725,21.35,81.46875,57.14285714285714,80.2,25.69,30.420000000000005,20.96,77.56666666666666,-21.428571428571427,50.2,26.136666666666667,30.80666666666666,21.466666666666665,79.38333333333334,35.714285714285715,125.4,25.562068965517234,30.303448275862063,20.820689655172405,78.84482758620689,-28.57142857142857,181.9,25.85344827586208,30.33448275862069,21.372413793103448,82.11206896551724,39.285714285714285,372.30000000000007,42
16,1,100.0,100.0,100.0,100.0,100.0,0.0,0.0,25.5375,29.725,21.35,81.46875,-57.14285714285714,80.2,26.375,31.2875,21.4625,79.21875,28.57142857142857,71.7,25.676666666666666,30.0,21.35333333333333,82.51666666666667,-42.857142857142854,118.3,26.09,30.74,21.44,82.2,35.714285714285715,146.6,25.55,30.11724137931035,20.98275862068965,79.50862068965517,-32.142857142857146,178.4,25.8,30.348275862068963,21.25172413793103,82.23275862068967,35.714285714285715,367.79999999999984,35
16,1,100.0,100.0,100.0,100.0,100.0,0.0,0.0,26.375,31.2875,21.4625,79.21875,-28.57142857142857,71.7,25.85,30.3375,21.3625,84.96875,42.857142857142854,79.69999999999997,26.136666666666667,30.80666666666666,21.466666666666665,79.38333333333334,-35.714285714285715,125.4,25.61,29.96666666666666,21.253333333333327,84.73333333333333,42.857142857142854,251.7,25.91206896551725,30.62413793103448,21.2,78.56896551724137,-25.0,164.8,25.918965517241386,30.64482758620689,21.193103448275863,80.66379310344827,28.57142857142857,309.1,28
16,1,100.0,100.0,100.0,100.0,100.0,14.4,0.0,25.85,30.3375,21.3625,84.96875,-42.857142857142854,79.69999999999997,25.20625,29.225,21.1875,84.84375,57.14285714285714,183.3,26.09,30.74,21.44,82.2,-35.714285714285715,146.6,25.41,29.733333333333334,21.086666666666666,82.61666666666666,42.857142857142854,232.5,25.97413793103448,30.52068965517241,21.42758620689655,81.93103448275863,-35.714285714285715,238.4,25.50172413793103,30.031034482758628,20.97241379310345,78.9655172413793,25.0,274.0,21
16,1,100.0,100.0,100.0,100.0,100.0,14.4,0.0,25.20625,29.225,21.1875,84.84375,-57.14285714285714,183.3,25.55,30.2125,20.8875,79.84375,42.857142857142854,59.3,25.61,29.96666666666666,21.253333333333327,84.73333333333333,-42.857142857142854,251.7,26.160000000000004,31.246666666666666,21.073333333333327,76.43333333333334,21.428571428571427,67.5,25.85344827586208,30.33448275862069,21.372413793103448,82.11206896551724,-39.285714285714285,372.30000000000007,25.31206896551724,29.962068965517243,20.662068965517236,76.20689655172414,17.857142857142858,134.8,14
