Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Silveira, L.F. & Straube, F. C. 2008. Aves ameaçadas de extinção no Brasil, p. 378-679. In: Machado, A. B. M., Drummond, G. M. & Paglia, A.P. Livro Vermelho da Fauna Brasileira Ameaçada de Extinção. Ministério do Meio Ambiente e Fundação Biodiversitas. v.2, 1420p.;ARA-LIT-95661;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Elaenia ridleyana;Cocoruta;Elaenia ridleyana;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Elaenia;Elaenia ridleyana;Espécie Ameaçada;Vulnerável;Ilha Fernando de Noronha, n;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.85;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Silveira, L.F. & Straube, F. C. 2008. Aves ameaçadas de extinção no Brasil, p. 378-679. In: Machado, A. B. M., Drummond, G. M. & Paglia, A.P. Livro Vermelho da Fauna Brasileira Ameaçada de Extinção. Ministério do Meio Ambiente e Fundação Biodiversitas. v.2, 1420p.;ARA-LIT-95662;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Puffinus lherminieri;Pardela-de-asa-larga;Puffinus lherminieri;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Procellariidae;Puffinus;Puffinus lherminieri;Espécie Ameaçada;Criticamente em Perigo;Sem Informações;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.86;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98193;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Anous stolidus;Trinta-réis-escuro;Anous stolidus;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Laridae;Anous;Anous stolidus;Espécie não Ameaçada;Sem Informações;Ilha Trindade, 45 km de Martins Vaz;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98194;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Sem Informações;Gaivota-de-cabeça-cinza;Chroicocephalus cirrocephalus;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Ilha Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98195;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Sem Informações;Gaivota-maria-velha;Chroicocephalus maculipennis;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Ilha Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98196;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Sem Informações;Gaivota-alegre;Leucophaeus atricilla;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Praia do Andradas, Ilha Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98197;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Sem Informações;Gaivota-de-franklin;Leucophaeus pipixcan;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Praia do Andradas, Ilha Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Silveira, L.F. & Straube, F. C. 2008. Aves ameaçadas de extinção no Brasil, p. 378-679. In: Machado, A. B. M., Drummond, G. M. & Paglia, A.P. Livro Vermelho da Fauna Brasileira Ameaçada de Extinção. Ministério do Meio Ambiente e Fundação Biodiversitas. v.2, 1420p.;ARA-LIT-98198;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Fregata ariel;Tesourão-pequeno;Fregata ariel;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Fregatidae;Fregata;Fregata ariel;Espécie Ameaçada;Criticamente em Perigo;Ilha da Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5;-29.32;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Silveira, L.F. & Straube, F. C. 2008. Aves ameaçadas de extinção no Brasil, p. 378-679. In: Machado, A. B. M., Drummond, G. M. & Paglia, A.P. Livro Vermelho da Fauna Brasileira Ameaçada de Extinção. Ministério do Meio Ambiente e Fundação Biodiversitas. v.2, 1420p.;ARA-LIT-98199;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Fregata minor;Tesourão-grande;Fregata minor;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Fregatidae;Fregata;Fregata minor;Espécie Ameaçada;Criticamente em Perigo;Ilha da Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5;-29.32;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Silveira, L.F. & Straube, F. C. 2008. Aves ameaçadas de extinção no Brasil, p. 378-679. In: Machado, A. B. M., Drummond, G. M. & Paglia, A.P. Livro Vermelho da Fauna Brasileira Ameaçada de Extinção. Ministério do Meio Ambiente e Fundação Biodiversitas. v.2, 1420p.;ARA-LIT-98200;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Pterodroma arminjoniana;Grazina-de-trindade;Pterodroma arminjoniana;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Procellariidae;Pterodroma;Pterodroma arminjoniana;Espécie Ameaçada;Criticamente em Perigo;Ilha da Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5;-29.32;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;Jardim, J.G.;RB00359138;4224;13/03/2004;Sem Informações;30/10/2017;Rudgea coronata;Sem Informações;Rudgea coronata (Vell.) Müll.Arg. ssp. coronata;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Rubiales;Rubiaceae;Rudgea;Rudgea coronata;Espécie Ameaçada;Criticamente em Perigo;Ca. 7,5Km S na rodovia para Armação dos Búzios.;Brasil;Rio de Janeiro;Rio das Ostras;Espécie não Sensível;-22.7166667;-1.45;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;B. Walter;RB00363225;1389;14/04/1992;Sem Informações;30/10/2017;Richardia grandiflora;Sem Informações;Richardia grandiflora (Cham. & Schltdl.) Steud.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Rubiales;Rubiaceae;Richardia;Richardia grandiflora;Espécie não Ameaçada;Sem Informações;Proximidades da Serra Negra a 1 km da entrada da fazenda da Niquel Tocantins. Proximo a Codemin.;Brasil;Goiás;Niquelândia;Espécie não Sensível;-14.0833333;-5.3672223;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;Bruno Machado Telles Walter;RB00363556;1770;02/08/1992;Sem Informações;30/10/2017;Rudgea viburnoides;Sem Informações;Rudgea viburnoides (Cham.) Benth.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Rubiales;Rubiaceae;Rudgea;Rudgea viburnoides;Espécie não Ameaçada;Sem Informações;Faz. Baião. Local próx. a antiga moradia dentro da fazenda, a N. da sede, 23 Km da cidade de Uruçú.;Brasil;Goiás;Uruaçu;Espécie não Sensível;-14.6333333;-5.5008333;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;S.Labouriau;RB00364469;07;09/12/1960;Sem Informações;30/10/2017;Tocoyena formosa;Sem Informações;Tocoyena formosa (Cham. & Schltdl.) K.Schum.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Rubiales;Rubiaceae;Tocoyena;Tocoyena formosa;Espécie não Ameaçada;Sem Informações;Emas.;Brasil;São Paulo;Pirassununga;Espécie não Sensível;-21.9333333;-4.1833333;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;B. Walter;RB00366727;1296;13/04/1992;Sem Informações;30/10/2017;Tocoyena;Sem Informações;Tocoyena;genus;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Rubiales;Rubiaceae;Tocoyena;Sem Informações;Espécie não Ameaçada;Sem Informações;Estrada de terra vicinal a GO-237 (Niquelândia /Colinas). Entrada a 600m da ponte sobre o bagagem a 40 km desta.;Brasil;Goiás;Niquelândia;Espécie não Sensível;-14.1166667;-5.3516667;Sem Informações;Sem Informações;Sem Informações
